(numpy.datetime64('2023-11-09T00:00:00.000000000'), 4.44139, 4.45913, 4.4229, 4.43267, 'Thursday', 'Thu', 'November', 'Nov', 4.4390225, nan, nan, nan, True),
(numpy.datetime64('2023-11-08T00:00:00.000000000'), 4.45867, 4.47199, 4.427, 4.4436, 'Wednesday', 'Wed', 'November', 'Nov', 4.450315, nan, nan, nan, True),
(numpy.datetime64('2023-11-07T00:00:00.000000000'), 4.45792, 4.46541, 4.44714, 4.45856, 'Tuesday', 'Tue', 'November', 'Nov', 4.457257500000001, nan, nan, nan, True),
(numpy.datetime64('2023-11-06T00:00:00.000000000'), 4.45746, 4.46815, 4.45113, 4.45743, 'Monday', 'Mon', 'November', 'Nov', 4.458542499999999, nan, nan, nan, True),
(numpy.datetime64('2023-11-03T00:00:00.000000000'), 4.4464, 4.46384, 4.43745, 4.45844, 'Friday', 'Fri', 'November', 'Nov', 4.4515325, nan, nan, nan, True),
(numpy.datetime64('2023-11-02T00:00:00.000000000'), 4.46841, 4.47103, 4.44206, 4.4464, 'Thursday', 'Thu', 'November', 'Nov', 4.456975, nan, nan, nan, True),
(numpy.datetime64('2023-11-01T00:00:00.000000000'), 4.45704, 4.48028, 4.45272, 4.46838, 'Wednesday', 'Wed', 'November', 'Nov', 4.464605, nan, nan, nan, True),
(numpy.datetime64('2023-10-31T00:00:00.000000000'), 4.4472, 4.45852, 4.43858, 4.45689, 'Tuesday', 'Tue', 'October', 'Oct', 4.4502975, nan, nan, nan, True),
(numpy.datetime64('2023-10-30T00:00:00.000000000'), 4.46417, 4.46776, 4.44533, 4.44725, 'Monday', 'Mon', 'October', 'Oct', 4.456127500000001, nan, nan, nan, True),
(numpy.datetime64('2023-10-27T00:00:00.000000000'), 4.45639, 4.47985, 4.44989, 4.46538, 'Friday', 'Fri', 'October', 'Oct', 4.462877499999999, nan, nan, nan, True),
(numpy.datetime64('2023-10-26T00:00:00.000000000'), 4.47561, 4.48268, 4.44544, 4.45612, 'Thursday', 'Thu', 'October', 'Oct', 4.4649625, nan, nan, nan, True),
(numpy.datetime64('2023-10-25T00:00:00.000000000'), 4.4623, 4.49006, 4.46049, 4.47559, 'Wednesday', 'Wed', 'October', 'Oct', 4.47211, nan, nan, nan, True),
(numpy.datetime64('2023-10-24T00:00:00.000000000'), 4.46144, 4.47012, 4.45548, 4.46209, 'Tuesday', 'Tue', 'October', 'Oct', 4.4622825, nan, nan, nan, True),
(numpy.datetime64('2023-10-23T00:00:00.000000000'), 4.45783, 4.46999, 4.45179, 4.46116, 'Monday', 'Mon', 'October', 'Oct', 4.4601925, nan, nan, nan, True),
(numpy.datetime64('2023-10-20T00:00:00.000000000'), 4.45478, 4.46985, 4.44826, 4.46275, 'Friday', 'Fri', 'October', 'Oct', 4.45891, nan, nan, nan, True),
